lockbox_version,race_id,date,a,b,odds_a,odds_b,model_p_a,mkt_p_a,winner,model_ll,mkt_ll,delta,model_brier,mkt_brier,model_right,mkt_right,pick,pick_odds,pick_ev,edge,pick_won,profit
v2,2026-5625,2026-09-13,Daniel Suarez,Michael McDowell,-134,106,0.6830666666666667,0.5412124539251824,Michael McDowell,1.149063832164208,0.7791680386576398,0.3698957935065681,0.46658007111111116,0.2929109202837176,0,0,Daniel Suarez,-134,0.1928179104477612,0.14185421274148435,0,-1.0
v2,2026-5625,2026-09-13,Joey Logano,William Byron,-280,210,0.7828,0.6955128205128205,Joey Logano,0.24487804346021583,0.3631058342690228,-0.11822779080880699,0.047175839999999976,0.09271244247205787,1,1,Joey Logano,-280,0.06237142857142869,0.08728717948717957,1,0.3571428571428572
v2,2026-5625,2026-09-13,Josh Berry,Bubba Wallace,-108,-118,0.3715333333333333,0.4896023956080519,Bubba Wallace,0.4644722886881967,0.6725652405520154,-0.2080929518638187,0.13803701777777777,0.23971050578514336,1,1,Bubba Wallace,-118,0.16106553672316387,0.1180690622747187,1,0.847457627118644
v2,2026-5625,2026-09-13,Ross Chastain,Brad Keselowski,-122,-104,0.5340666666666667,0.5187593796898449,Ross Chastain,0.6272346038692302,0.6563151262708729,-0.029080522401642606,0.2170938711111111,0.2315925346365029,1,1,Ross Chastain,-122,-0.02817377049180325,0.015307286976821821,1,0.819672131147541
v2,2026-5625,2026-09-13,Ross Chastain,Chris Buescher,-120,-110,0.34676666666666667,0.5101214574898786,Ross Chastain,1.0591031555733972,0.6731064296764991,0.38599672589689804,0.4267137877777778,0.23998098641184085,0,1,Chris Buescher,-110,0.24708181818181818,0.16335479082321192,0,-1.0
v2,2026-5625,2026-09-13,Ryan Blaney,Kyle Larson,-142,112,0.7375333333333334,0.5543606364172068,Kyle Larson,1.3376311891406099,0.808245255889175,0.5293859332514349,0.5439554177777778,0.30731571520889056,0,0,Ryan Blaney,-142,0.25692300469483575,0.1831726969161266,0,-1.0
v2,2026-5625,2026-09-13,Carson Hocevar,Ryan Preece,-140,110,0.7079666666666666,0.550561797752809,Carson Hocevar,0.3453582673760458,0.5968160716215132,-0.2514578042454674,0.0852834677777778,0.20199469763918695,1,1,Carson Hocevar,-140,0.21365714285714288,0.15740486891385763,1,0.7142857142857144
v2,2026-5625,2026-09-13,Ty Gibbs,Tyler Reddick,-130,100,0.3666,0.5306122448979592,Ty Gibbs,1.0034839435765324,0.6337237600891445,0.3697601834873878,0.40119555999999995,0.22032486463973341,0,1,Tyler Reddick,100,0.2668,0.16401224489795918,0,-1.0
v2,2026-5625,2026-09-13,Austin Cindric,Josh Berry,-115,-115,0.6744666666666667,0.5,Austin Cindric,0.39383302387845676,0.6931471805599453,-0.29931415668148853,0.10597195111111112,0.25,1,0,Austin Cindric,-115,0.26095942028985497,0.17446666666666666,1,0.8695652173913042
v2,2026-5626,2026-09-19,Kyle Larson,Denny Hamlin,-140,120,0.7936,0.562043795620438,Kyle Larson,0.231175723011474,0.576175503974441,-0.3449997809629669,0.04260096,0.1918056369545526,1,1,Kyle Larson,-140,0.3604571428571429,0.2315562043795619,1,0.7142857142857144
