driver,team,manufacturer,start_pos,finish_pos,is_dnf,qual_z,practice_z,has_practice_data,pl_driver,pl_team,pl_driver_track,pl_effective,avg_finish_5,avg_finish_10,career_races,races_at_type_last_10,avg_finish_at_type_last_10,races_at_track_last_10,avg_finish_at_track_last_10,tm_wpct_20,tm_adj_wpct_20,tm_races_20,loop_avg_ps_10,loop_rating_10,lr_prior_warp,h2h_beat_rate_10
Shane Van Gisbergen,Trackhouse Racing,Chevrolet,6.0,1,False,1.1669990790854863,1.0050100748042519,1,-0.2749277010689618,-0.20764505452628104,0.11595975587467379,-0.36661299972056904,23.0,22.3,66.0,10.0,5.9,1.0,1.0,0.45,0.4015050953573849,20.0,20.382000000000005,71.441,5.755714285714286,0.42587601078167114
Chase Briscoe,Joe Gibbs Racing,Toyota,7.0,2,False,1.0487332439149708,0.8623516838402269,1,0.3129268719709113,0.06871978678517049,-0.003987138221545755,0.377659520534536,15.2,14.0,160.0,10.0,15.9,4.0,19.5,0.32499999999999996,0.3896996348615099,20.0,12.424,90.50800000000001,13.751428571428573,0.6495956873315364
Ty Gibbs,Joe Gibbs Racing,Toyota,1.0,3,False,1.308918081290127,0.9995232136133212,1,0.186294709413099,0.06871978678517049,0.0968454673488772,0.35185996354714666,13.6,15.1,139.0,10.0,15.6,3.0,20.666666666666668,0.4416666666666666,0.5670618659325473,20.0,12.604999999999999,90.14500000000001,13.75714285714286,0.6199460916442049
Kyle Larson,Hendrick Motorsports,Chevrolet,3.0,4,False,1.2405867098582755,1.19430678589114,1,0.5530938414362281,0.157902806767995,0.011736242504708658,0.7227328907089318,8.0,14.2,159.0,10.0,19.0,4.0,14.75,0.6666666666666666,0.5752159309444068,20.0,11.354000000000001,98.36800000000001,14.67142857142857,0.6442048517520216
Christopher Bell,Joe Gibbs Racing,Toyota,14.0,5,False,0.41272586366455555,-0.5189656209749184,1,-0.3320679849749239,0.06871978678517049,-0.0009281811070250001,-0.2642763792967784,20.0,22.3,160.0,10.0,10.2,4.0,12.5,0.5499999999999999,0.4677776913441814,20.0,17.801000000000002,81.196,8.164285714285715,0.42587601078167114
Ryan Blaney,Team Penske,Ford,16.0,6,False,0.37198985377249516,1.391833788764395,1,0.8002273114331415,0.21303466157199688,0.08274578182448156,1.0960077548296199,8.4,12.6,160.0,10.0,13.8,4.0,20.0,0.85,0.6135145066466562,20.0,12.926000000000002,94.67499999999998,14.578571428571427,0.6873315363881402
Connor Zilisch,Trackhouse Racing,Chevrolet,17.0,7,False,0.33388197355086613,0.016003345140180692,1,-0.37212610761461457,-0.20764505452628104,-0.041529708855744085,-0.6213008709966397,34.8,29.8,20.0,4.0,27.0,0.0,,0.38461538461538464,0.6701367734998546,13.0,28.099,47.224000000000004,,0.22371967654986524
Ryan Preece,RFK Racing,Ford,19.0,8,False,-0.019601467125483035,0.5934954854849495,1,0.044397955345894455,-0.19643461330599157,0.0841087240356802,-0.06792793392441693,27.2,20.1,126.0,10.0,15.4,3.0,14.333333333333334,0.5,0.5328783528965169,20.0,18.026000000000003,71.04,17.36714285714286,0.48517520215633425
Michael McDowell,Spire Motorsports,Chevrolet,4.0,9,False,1.228760126341222,0.6908872716238492,1,0.14039967997176805,0.3187594198727913,0.1790362484225759,0.6381953482671353,16.4,20.1,160.0,10.0,10.8,4.0,4.0,0.475,0.43025780729540586,20.0,20.078,64.615,12.505714285714287,0.48517520215633425
Alex Bowman,Hendrick Motorsports,Chevrolet,22.0,10,False,-0.3546880001086629,-0.9030459043396059,1,-0.023159958185130253,0.157902806767995,0.005980627645679255,0.140723476228544,24.4,20.8,148.0,10.0,20.3,4.0,16.25,0.2583333333333333,0.4103082087890677,20.0,21.227999999999998,60.162,14.480000000000004,0.46630727762803237
Carson Hocevar,Spire Motorsports,Chevrolet,2.0,11,False,1.2668680065628324,0.574291471316721,1,0.36939595200837183,0.3187594198727913,-0.034041209011558916,0.6541141628696042,15.4,13.6,97.0,10.0,25.1,2.0,24.5,0.475,0.5027332149843813,20.0,13.499,84.99199999999999,21.509999999999998,0.660377358490566
William Byron,Hendrick Motorsports,Chevrolet,13.0,12,False,0.42455244718160895,0.7841639118695557,1,-0.05979651652757784,0.157902806767995,-0.04129412965107883,0.05681216058933834,18.4,20.8,160.0,10.0,15.8,4.0,15.25,0.4916666666666666,0.48251730766225426,20.0,19.171999999999997,74.08200000000001,11.174285714285716,0.46630727762803237
Austin Cindric,Team Penske,Ford,23.0,13,False,-0.3638864539552476,-0.5532585034181822,1,0.25801962568956827,0.21303466157199688,0.02165113978215553,0.4927054270437207,22.2,17.1,160.0,10.0,21.9,4.0,20.5,0.15,0.3889832889327877,20.0,19.345000000000002,67.422,18.877142857142857,0.5660377358490566
Ross Chastain,Trackhouse Racing,Chevrolet,5.0,14,False,1.1683131439207206,0.9830626300405483,1,0.16119512859382135,-0.20764505452628104,-0.009475808803760512,-0.05592573473622021,20.6,20.9,160.0,10.0,19.0,4.0,11.5,0.625,0.4823970853289931,20.0,19.021,68.32100000000001,13.50857142857143,0.4636118598382749
Brad Keselowski,RFK Racing,Ford,35.0,15,False,-1.6490418628083472,-0.8522924383235496,1,-0.4212633057637945,-0.19643461330599157,-0.08083690009446852,-0.6985348191642546,31.0,24.9,160.0,10.0,26.1,4.0,12.5,0.5,0.5272379082592337,20.0,22.943,59.672000000000004,18.037142857142857,0.3557951482479784
AJ Allmendinger,Kaulig Racing,Chevrolet,8.0,16,False,0.9475502516023904,0.8513779614583847,1,0.21879210170988167,0.05723979355283779,0.18119264374382413,0.4572245390065436,19.4,19.1,122.0,10.0,11.4,4.0,12.25,0.75,0.576422289811316,20.0,20.315,66.789,11.272857142857145,0.5121293800539084
Chase Elliott,Hendrick Motorsports,Chevrolet,18.0,17,False,0.12363159991437357,0.20255662563161314,1,0.4503248937204397,0.157902806767995,0.02552675530978731,0.633754455798222,19.8,15.8,153.0,10.0,10.8,4.0,5.0,0.6416666666666666,0.4944319781472938,20.0,16.072,81.774,12.581428571428573,0.601078167115903
Zane Smith,Front Row Motorsports,Ford,24.0,18,False,-0.38096929681321984,0.4563239557118357,1,-0.1477688474141749,-0.19779236311280057,0.061672755472948496,-0.283888455054027,18.6,18.9,97.0,10.0,22.0,3.0,25.666666666666668,0.6,0.5677813075601131,20.0,20.653999999999996,68.212,24.14857142857143,0.5175202156334232
Chris Buescher,RFK Racing,Ford,15.0,19,False,0.3825023724543142,0.7526144600217475,1,0.4638141116236113,-0.19643461330599157,0.0796580484811484,0.34703754679876814,16.2,12.3,159.0,10.0,11.7,4.0,6.25,0.525,0.4697320420773456,20.0,11.995,90.571,11.250000000000002,0.6954177897574124
Cole Custer,Haas Factory Team,Chevrolet,27.0,20,False,-0.5031773264894384,0.03795078990388436,1,-0.012307580459174045,-0.006458995443272705,0.006562376581538326,-0.012204199320908424,20.8,24.5,94.0,10.0,24.6,2.0,22.0,0.425,0.4532526218162536,20.0,24.362000000000002,50.977999999999994,23.72,0.3665768194070081
Ricky Stenhouse Jr,HYAK Motorsports,Chevrolet,33.0,21,False,-1.4939822122514186,-0.9428256479738004,1,-0.12398508477208052,-0.06538994897653992,-0.08478271990778659,-0.27415775365640704,18.6,18.7,160.0,10.0,25.9,4.0,23.5,,,0.0,20.901,60.387,,0.522911051212938
Bubba Wallace,23XI Racing,Toyota,26.0,22,False,-0.44404440890417135,1.0475332490339218,1,0.04616372953620919,0.1750415269687517,0.09703758939182056,0.3182428458967814,16.0,17.0,159.0,10.0,16.0,4.0,24.75,0.4833333333333333,0.46602855809572624,20.0,16.807000000000002,78.68699999999998,17.715714285714284,0.568733153638814
Erik Jones,Legacy Motor Club,Toyota,32.0,23,False,-1.120787799046647,-1.8591314668581118,1,0.5485129802859369,0.33298026176399276,-0.02201601530476996,0.8594772267451597,10.4,15.2,158.0,10.0,24.6,4.0,25.5,0.575,0.43498759494859485,20.0,17.323,74.322,24.87428571428572,0.6172506738544474
Joey Logano,Team Penske,Ford,10.0,24,False,0.8805329450057731,0.7046044246011665,1,-0.1586255803847658,0.21303466157199688,-0.00798645635576549,0.0464226248314656,16.2,23.2,160.0,10.0,17.8,4.0,12.5,0.5,0.49750220442055604,20.0,20.116,70.068,16.270000000000003,0.40161725067385445
John H. Nemechek,Legacy Motor Club,Toyota,20.0,25,False,-0.039312439653905386,-0.4599818631724757,1,0.27140007078023953,0.33298026176399276,0.06679367949079146,0.6711740120350238,16.8,19.4,90.0,10.0,20.6,2.0,28.5,0.45,0.5723370778263432,20.0,20.637999999999998,64.15,,0.5040431266846361
Denny Hamlin,Joe Gibbs Racing,Toyota,9.0,26,False,0.9357236680853369,0.5057057064301543,1,1.2245276137768943,0.06871978678517049,0.006828674862679213,1.300076075424744,4.0,6.6,159.0,10.0,17.0,4.0,31.25,0.675,0.5587953966048862,20.0,10.834,104.80699999999999,19.90571428571429,0.8490566037735849
Austin Dillon,Richard Childress Racing,Chevrolet,30.0,27,False,-0.839577924307834,-0.5258241974635672,1,0.019160191961791403,-0.04893817903124372,0.048396389718432166,0.018618402648979848,27.0,21.2,160.0,10.0,24.7,4.0,21.75,0.575,0.5695772661103351,20.0,21.172000000000004,62.452,23.230000000000004,0.4555256064690027
Josh Berry,Wood Brothers Racing,Ford,28.0,28,False,-0.5609961792394711,-1.3913765503318418,1,-0.17134701413405068,-0.09222987274697443,0.020705839915964166,-0.24287104696506093,27.4,29.0,98.0,10.0,25.9,2.0,22.5,0.42499999999999993,0.5512386697685269,20.0,24.253999999999998,49.241,25.156666666666666,0.24528301886792453
Todd Gilliland,Front Row Motorsports,Ford,29.0,29,False,-0.7594199693589102,-0.5450282116317957,1,0.20506076886076033,-0.19779236311280057,0.0729362724812607,0.08020467822922045,20.4,18.5,160.0,10.0,21.4,4.0,20.0,0.575,0.5012267360164604,20.0,22.558,57.074,21.35571428571428,0.5283018867924528
Riley Herbst,23XI Racing,Toyota,25.0,30,False,-0.4295896957166492,-1.2569484511542033,1,0.31328783782651254,0.1750415269687517,0.034960807098412025,0.5232901718936762,15.0,17.2,60.0,9.0,22.88888888888889,1.0,25.0,0.2333333333333333,0.5297729022411588,20.0,19.151,66.92299999999999,24.15,0.5633423180592992
Daniel Suárez,Spire Motorsports,Chevrolet,21.0,31,False,-0.19962834955173425,0.6552226738828478,1,0.6127189678862661,0.3187594198727913,0.055096945814198564,0.986575333573256,10.4,11.4,160.0,10.0,19.3,4.0,12.75,0.55,0.550050366364717,20.0,15.1,81.619,,0.7196765498652291
Noah Gragson,Front Row Motorsports,Ford,34.0,32,False,-1.6069917880810338,-1.5491238095709023,1,-0.440276177193166,-0.19779236311280057,-0.018883723616060794,-0.6569522639220273,27.4,25.0,127.0,10.0,26.4,2.0,31.5,0.325,0.4299569381239601,20.0,25.586000000000002,48.854,25.37571428571428,0.353099730458221
Cody Ware,Rick Ware Racing,Chevrolet,36.0,33,False,-2.930255077155744,-2.8138453140789,1,-0.0902926166543356,-0.05136457780518568,-0.010846270057229844,-0.15250346451675115,25.2,28.2,103.0,10.0,29.9,2.0,33.0,0.4,0.4106167494886952,20.0,29.093,38.623000000000005,29.39,0.2668463611859838
Austin Hill,Richard Childress Racing,Chevrolet,12.0,34,False,0.7018201274147375,-0.5560019340136573,1,-0.24263953305512162,-0.04893817903124372,-0.033798239394831786,-0.32537595148119713,25.6,24.6,21.0,4.0,25.75,0.0,,0.18181818181818182,0.39336380636072854,11.0,26.155,47.913,,0.3689839572192513
Ty Dillon,Kaulig Racing,Chevrolet,31.0,35,False,-1.1037049561886747,-0.7507855062914567,1,-0.12608170679436592,0.05723979355283779,0.008321621600914729,-0.060520291640613406,24.6,25.5,131.0,10.0,26.5,3.0,21.0,0.25,0.42357771018868395,20.0,27.576,42.172999999999995,27.404,0.33962264150943394
Tyler Reddick,23XI Racing,Toyota,11.0,36,False,0.8555657131364318,1.1696159105319808,1,0.5425474355726037,0.1750415269687517,0.0779857940862714,0.7955747566276268,14.4,10.0,160.0,10.0,9.3,4.0,20.5,0.825,0.48417243698432044,20.0,10.797,103.578,13.137142857142859,0.7574123989218329
